Reg,VIN,Auction type,Center,Hall Name,Auction Name,Title,Make,Model,CC,Start Date,Start Time,Derivative,Body Type,Mileage Warranted,Mileage,Year,Plate,CAP Clean,Grade,Mechanical Grade,Date Of Grading,Images,Inspection Report,Other Report,Other Report Name,lot Id,Lot,Colour,Non Runner,Fuel Type,Transmission,Doors,Former Keepers,V5 Status,V5,Service History Type,VAT Status,Service History Present,Vehicle Type,Equipment,Last Service,Last service mileage,Service history,No of services,Service through main dealers,Service Notes,Additional information,Keys,DVSA mileage,MOT Expiry Date,Declarations,Major Damage,Owned By Police,Used As Taxi,Reregistered,Change Of Registration,Modified Vehicle,Salvaged Vehicle,CAP Average,CAP New,CAP Retail,CAP Below,Vehicle base price when new,Total price when new,Description and prize
WF72 RTV,W1K5J8EB2PN340040,Online Only,Blackbushe,,BCA OS Sale,MERCEDES-BENZ CLA 180 1.3 AMG LINE PREMIUM DCT Coupe,MERCEDES-BENZ,CLA 180,1.3,2025-11-03,09:00:00,AMG LINE PREMIUM DCT,Coupe,Yes,55453,2022,2022 (72 reg),18200,2,A,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322812, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322815, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322819, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322822, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322826, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322831, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322838, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322844, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322848, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=645322861",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=WF72 RTV-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=WF72 RTV-GB,mechanicalreporturl,0,OSA015,WHITE,False,Petrol,Auto Clutch,4,1,True,Present,Digital Service,VAT Qualifying,True,Car,"Navigation HDD, Leather Pack, Parking Sensor(s), Climate Control, Leather Trim, Contrast Stitching - Black, 18"" Alloy Wheels, Tyre Repair Kit, Privacy Glass, Metallic Paint - White",2025-09-05T00:00:00Z,53094,Digital Service,3,0,,"[{'cO2': '138 g/km', 'nox': '0.030 g/km'}, 'na']",2,53k 2025-09-05T12:58:35Z,2026-09-19T00:00:00Z,,False,False,False,False,False,False,False,"17,000","35,785","20,250","15,850",,,na
MJ21 JBU,VF72RHNPMM4067608,Online Only,Blackbushe,,BCA OS Sale,CITROEN C3 AIRCROSS 1.2 P/T 110 SHINE (6) Hatchback,CITROEN,C3 AIRCROSS,1.2,2025-11-03,09:00:00,P/T 110 SHINE (6),Hatchback,Yes,16693,2021,2021 (21 reg),8000,1,A,2025-10-23T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063640, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063642, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063644, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063645, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063646, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063647, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063648, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063651, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063653, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643063654",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=MJ21 JBU-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=MJ21 JBU-GB,mechanicalreporturl,0,OSA016,GREY,False,Petrol,Manual Transmission,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Navigation HDD, Parking Sensor(s), Climate Control, Cloth Trim - Grey, Tyre Repair Kit, Alloy Wheels, Special Paint - Platinum Grey",2025-10-30T00:00:00Z,16693,Maintenance Print,1,0,,"[{'cO2': '135 g/km', 'nox': '0.029 g/km'}, 'na']",2,"11k 2024-10-16T09:38:41Z, 16k 2025-09-30T11:28:09Z",2026-10-15T00:00:00Z,,False,False,False,False,False,False,False,"7,025","19,415","9,995","6,025",19540.0,20060.0,"Metallic Paint 520, Grey Mica cloth 0, Platinum Grey metallic 0"
GX70 UOG,SALYA2AX3LA288028,Online Only,Blackbushe,,BCA OS Sale,LAND ROVER R/R VELAR 2.0 P300 R-DYNAMIC SE StationWagon,LAND ROVER,R/R VELAR,2.0,2025-11-03,09:00:00,P300 R-DYNAMIC SE,StationWagon,Yes,38211,2020,2020 (70 reg),24300,4,B,2025-10-17T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570113, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570116, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570118, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570120, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570123, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570126, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570129, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570131, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570133, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641570137",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=GX70 UOG-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=GX70 UOG-GB,mechanicalreporturl,0,OSA017,KAIKOURA STONE METALLIC,False,Petrol,Automatic,5,1,True,Present,Digital Service,VAT Qualifying,True,Car,"Navigation HDD, Parking Sensor(s), Climate Control, Leather Trim, Space Saver Spare Wheel, 20"" Alloy Wheels, Panoramic Roof, Privacy Glass",2025-01-31T00:00:00Z,48940,Digital Service,2,2,,"[{'cO2': '225 g/km', 'nox': None}, ['Service Discrepancy - susp 2025 SH in kms']]",2,"21k 2023-09-16T08:36:58Z, 29k 2024-09-05T08:19:14Z, 37k 2025-09-18T15:12:10Z",2026-09-17T00:00:00Z,,False,False,False,False,False,False,False,"22,950","58,555","27,250","21,650",,,na
FL21 XTR,TMAJC81BLMJ019609,Online Only,Blackbushe,,BCA OS Sale,HYUNDAI TUCSON 1.6 T-GDI 48V MHD 2WD SE CONNECT StationWagon,HYUNDAI,TUCSON,1.6,2025-11-03,09:00:00,T-GDI 48V MHD 2WD SE CONNECT,StationWagon,Yes,39487,2021,2021 (21 reg),14000,1,A,2025-10-28T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206070, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206072, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206073, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206074, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206075, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206077, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206078, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206079, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206080, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644206081",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=FL21 XTR-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=FL21 XTR-GB,mechanicalreporturl,0,OSA018,BLUE,False,Petrol,Manual Transmission,5,1,True,Present,Service Book,VAT Qualifying,True,Car,"Navigation HDD, Parking Sensor(s), Climate Control, Tyre Repair Kit, 17"" Alloy Wheels, Privacy Glass",2025-03-12T00:00:00Z,30629,Service Book,2,0,,"[{'cO2': '148 g/km', 'nox': '0.027 g/km'}, 'na']",2,"22k 2024-06-07T09:27:34Z, 35k 2025-06-27T15:48:58Z",2026-06-29T00:00:00Z,,False,False,False,False,False,False,False,"12,750","28,975","16,395","11,500",,,na
VE22 WTV,VXKUPHMHDN4261306,Online Only,Blackbushe,,BCA OS Sale,VAUXHALL CORSA 1.2 75 SE ED. Hatchback,VAUXHALL,CORSA,1.2,2025-11-03,09:00:00,75 SE ED.,Hatchback,Yes,25796,2022,2022 (22 reg),8700,2,A,2025-10-22T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108611, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108620, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108631, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108642, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108650, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108658, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108670, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108678, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108688, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643108702",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=VE22 WTV-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=VE22 WTV-GB,mechanicalreporturl,0,OSA019,GREY,False,Petrol,Manual Transmission,5,1,True,Present,Service Book,VAT Qualifying,True,Car,"Air Conditioning, Cloth Trim, Tyre Repair Kit, Alloy Wheels, Metallic Paint - Crystal",2024-11-26T00:00:00Z,19630,Service Book,1,1,,"[{'cO2': '118 g/km', 'nox': '0.011 g/km'}, 'na']",2,23k 2025-06-18T09:36:10Z,2026-06-19T00:00:00Z,,False,False,False,False,False,False,False,"7,700","17,145","10,695","6,675",,,na
BC23 WVD,KMHS6812SPU083317,Online Only,Blackbushe,,BCA OS Sale,HYUNDAI SANTA FE 1.6 T-GDI PHEV 4WD PREMIUM StationWagon,HYUNDAI,SANTA FE,1.6,2025-11-03,09:00:00,T-GDI PHEV 4WD PREMIUM,StationWagon,Yes,23392,2023,2023 (23 reg),29950,1,A,2025-10-24T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773965, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773966, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773967, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773970, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773971, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773973, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773974, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773975, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773976, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640773979",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=BC23 WVD-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=BC23 WVD-GB,mechanicalreporturl,0,OSA020,BLACK,False,Petrol/Electric,Automatic,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Charge Cable - Type 2, Navigation HDD, Parking Sensor(s), Climate Control, Leather Trim, 7 Seats, 19"" Alloy Wheels, Pearlescent Paint - Abyss Black, Privacy Glass",2025-10-30T00:00:00Z,23392,Maintenance Print,1,0,,"[{'cO2': '37 g/km', 'nox': '0.007 g/km'}, 'na']",2,na,2026-08-06T00:00:00Z,,False,False,False,False,False,False,False,"28,650","47,560","33,000","27,350",,,na
RF21 UDU,WVGZZZC1ZMY130051,Online Only,Blackbushe,,BCA OS Sale,VOLKSWAGEN T-CROSS 1.0 TSI 110 SEL DSG Hatchback,VOLKSWAGEN,T-CROSS,1.0,2025-11-03,09:00:00,TSI 110 SEL DSG,Hatchback,Yes,19869,2021,2021 (21 reg),14900,2,A,2025-10-23T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931282, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931286, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931288, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931294, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931299, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931305, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931311, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931319, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931323, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641931329",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=RF21 UDU-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=RF21 UDU-GB,mechanicalreporturl,0,OSA021,BLACK,False,Petrol,Auto Clutch,5,1,True,Present,Digital Service,VAT Qualifying,True,Car,"Navigation HDD, Parking Sensor(s), Climate Control, Half Leather Trim, 17"" Alloy Wheels, Privacy Glass, Pearlescent Paint - Pearl Black",2023-04-25T00:00:00Z,7313,Digital Service,1,1,,"[{'cO2': '147 g/km', 'nox': '0.043 g/km'}, 'na']",2,"12k 2024-06-26T15:26:15Z, 17k 2025-06-27T10:19:38Z",2026-06-28T00:00:00Z,,False,False,False,False,False,False,False,"13,600","24,300","17,250","12,300",24035.0,24620.0,"Deep Black Pearl Effect Paint 585, Deep Black Pearl Effect 0, â€˜Tracks 2â€™ cloth Titan Black/Ceramique 0"
LO72 MMF,TMBKB7NY8PF017792,Online Only,Blackbushe,,BCA OS Sale,SKODA ENYAQ 132KW 62KWH 60 SUITE(120KC) Hatchback,SKODA,ENYAQ,0,2025-11-03,09:00:00,132KW 62KWH 60 SUITE(120KC),Hatchback,Yes,28167,2022,2022 (72 reg),16200,1,B,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713433, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713438, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713446, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713449, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713453, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713461, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713468, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713478, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713486, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644713492",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=LO72 MMF-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=LO72 MMF-GB,mechanicalreporturl,0,OSA022,BLUE,False,Electric,Automatic,5,1,True,Present,Digital Service,VAT Qualifying,True,Car,"Charge Cable - Type 2, Navigation HDD, Suite Design Pack - Black Leather, Parking Sensor(s), Climate Control, Leather Trim, 20"" Alloy Wheels, Solid Paint - Energy Blue",2024-12-16T00:00:00Z,19113,Digital Service,1,1,,"[{'cO2': None, 'nox': None}, ['Key Condition - Remote Inoperative']]",2,na,2025-12-18T00:00:00Z,,False,False,False,False,False,False,False,"14,850","40,295","18,595","13,500",,,na
AF72 OYN,LRWYHCEK1NC418710,Online Only,Blackbushe,,BCA OS Sale,TESLA MODEL Y AWD LONG RANGE Hatchback,TESLA,MODEL Y,0,2025-11-03,09:00:00,AWD LONG RANGE,Hatchback,Yes,74930,2022,2022 (72 reg),19050,3,A,2025-10-25T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293400, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293404, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293406, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293410, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293413, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293419, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293425, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293430, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293433, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=644293437",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=AF72 OYN-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=AF72 OYN-GB,mechanicalreporturl,0,OSA023,BLACK,False,Electric,Automatic,5,1,True,Present,No,VAT Qualifying,False,Car,"Charge Cable - Type 2, Charge Cable - 3 Pin, Navigation HDD, Climate Control, Parking Sensor(s), Cloth Trim - Premium Engineered, Leather Trim, 19"" Alloy Wheels, Solid Paint - Black, Panoramic Roof, Privacy Glass",0001-01-01T00:00:00Z,0,,0,0,,"[{'cO2': None, 'nox': None}, 'na']",2,72k 2025-09-16T14:49:16Z,2026-09-15T00:00:00Z,,False,False,False,False,False,False,False,"17,700","57,935","21,500","16,300",,,na
LT71 WGX,VF3MRHNSUMS182675,Online Only,Blackbushe,,BCA OS Sale,PEUGEOT 5008 1.2 P/T 130 ALLURE PREMIUM EAT8 StationWagon,PEUGEOT,5008,1.2,2025-11-03,09:00:00,P/T 130 ALLURE PREMIUM EAT8,StationWagon,Yes,23058,2021,2021 (71 reg),18750,2,B,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151036, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151038, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151040, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151043, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151046, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151050, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151055, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151059, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151061, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641151064",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=LT71 WGX-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=LT71 WGX-GB,mechanicalreporturl,0,OSA024,WHITE,False,Petrol,Automatic,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Navigation HDD, Parking Sensor(s), Air Conditioning, Leather/Cloth Trim - Mint Green Colyn, 7 Seats, 18"" Alloy Wheels, Pearlescent Paint - White, Privacy Glass",2025-10-20T00:00:00Z,23058,Maintenance Print,1,0,,"[{'cO2': '151 g/km', 'nox': '0.029 g/km'}, 'na']",2,"15k 2024-09-05T12:54:34Z, 23k 2025-09-28T10:21:51Z",2026-09-27T00:00:00Z,,False,False,False,False,False,False,False,"17,400","33,410","21,250","16,050",32695.0,33370.0,"Pearlescent/special paint 675, Half Mistral leather effect with 'Colyn' cloth seat trim 0, Pearlescent White 0"
DS22 UAD,VXKUPHNSSN4259872,Online Only,Blackbushe,,BCA OS Sale,VAUXHALL CORSA 1.2 TURBO 130 SRI ED. Hatchback,VAUXHALL,CORSA,1.2,2025-11-03,09:00:00,TURBO 130 SRI ED.,Hatchback,Yes,27926,2022,2022 (22 reg),11000,3,B,2025-10-18T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989632, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989633, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989637, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989639, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989641, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989646, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989653, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989659, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989664, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=641989667",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=DS22 UAD-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=DS22 UAD-GB,mechanicalreporturl,0,OSA025,BLUE,False,Petrol,Automatic,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"NAV Media NOT Present, Parking Sensor(s), Climate Control, Half Leather Trim, 17"" Alloy Wheels, Privacy Glass, Metallic Paint - Voltaic",2025-10-21T00:00:00Z,27926,Maintenance Print,1,0,,"[{'cO2': '123 g/km', 'nox': '0.020 g/km'}, 'na']",2,23k 2025-06-20T15:39:16Z,2026-06-26T00:00:00Z,,False,False,False,False,False,False,False,"9,950","23,395","12,995","8,875",,,na
KE19 EDO,WDD1770842N087750,Online Only,Blackbushe,,BCA OS Sale,MERCEDES-BENZ A180 1.3 AMG LINE Hatchback,MERCEDES-BENZ,A180,1.3,2025-11-03,09:00:00,AMG LINE,Hatchback,Yes,35250,2019,2019 (19 reg),13350,2,B,2025-10-14T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147187, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147189, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147191, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147195, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147199, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147201, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147204, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147209, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147212, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=639147216",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=KE19 EDO-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=KE19 EDO-GB,mechanicalreporturl,0,OSA026,BLACK                 VWH,False,Petrol,Manual Transmission,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Navigation HDD, Climate Control, Half Leather Trim, 18"" Alloy Wheels",2025-10-30T00:00:00Z,35250,Maintenance Print,1,0,,"[{'cO2': '129 g/km', 'nox': '0.710 g/km'}, ['Key Condition - Remote Inoperative']]",2,"15k 2022-11-19T12:31:12Z, 24k 2023-10-14T14:39:41Z, 30k 2024-10-29T11:14:59Z",2025-10-28T00:00:00Z,,False,False,False,False,False,False,False,"12,250","25,555","15,550","11,150",24895.0,25490.0,"Paint â€“ metallic 595, ARTICO/DINAMICA micofibre black 0, Cosmos Black metallic 0"
YO21 RDV,WF02XXERK2MM89277,Online Only,Blackbushe,,BCA OS Sale,FORD PUMA 1.0 E/B MHEV 155 ST-LINE X Hatchback,FORD,PUMA,1.0,2025-11-03,09:00:00,E/B MHEV 155 ST-LINE X,Hatchback,Yes,35370,2021,2021 (21 reg),12300,1,A,2025-10-29T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758002, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758004, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758009, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758013, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758015, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758020, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758025, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758033, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758039, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=640758043",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=YO21 RDV-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=YO21 RDV-GB,mechanicalreporturl,0,OSA027,BLUE,False,Petrol,Manual Transmission,5,1,True,Present,Maintenance Print,VAT Qualifying,True,Car,"Navigation HDD, Parking Sensor(s), Climate Control, Half Leather Trim, Sensico/Cloth Trim - Ebony Black/Red, 18"" Alloy Wheels, Body Colour - Desert Island Blue, Privacy Glass",2025-10-30T00:00:00Z,35370,Maintenance Print,1,0,,"[{'cO2': '128 g/km', 'nox': '0.026 g/km'}, 'na']",2,"23k 2024-06-25T08:05:40Z, 32k 2025-06-16T08:40:20Z",2026-06-29T00:00:00Z,,False,False,False,False,False,False,False,"11,050","24,590","14,695","9,825",,,na
LO73 HXW,WAUZZZGY9RA051871,Online Only,Blackbushe,,BCA OS Sale,AUDI A3 SPORTBACK 1.4 40 TFSI E SPORT S-T Hatchback,AUDI,A3 SPORTBACK,1.4,2025-11-03,09:00:00,40 TFSI E SPORT S-T,Hatchback,Yes,49431,2023,2023 (73 reg),16600,3,B,2025-10-25T00:00:00Z,"https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152264, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152271, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152277, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152287, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152294, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152307, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152315, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152326, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152340, https://www1.bcaimage.com/Document?DocType=VehicleImage&width=600&docId=643152349",https://www1.bcaimage.com/Document?DocType=InspectionBase&Reg=LO73 HXW-GB,https://www1.bcaimage.com/Document?DocType=SpecificationSheet&Reg=LO73 HXW-GB,mechanicalreporturl,0,OSA028,BLACK,False,Petrol/Electric,Auto Clutch,5,1,True,Present,Digital Service,VAT Qualifying,True,Car,"Charge Cable - Type 2, Charge Cable - 3 Pin, Navigation HDD, Parking Sensor(s), Climate Control, Leather Trim - Steel Grey Twin, 17"" Alloy Wheels, Solid Paint - Brilliant Black",2025-04-15T00:00:00Z,43153,Digital Service,1,1,,"[{'cO2': '26 g/km', 'nox': '0.011 g/km'}, 'na']",1,na,2026-12-06T00:00:00Z,,False,False,False,False,False,False,False,"15,450","35,855","18,795","14,300",33855.0,34430.0,"Metallic paint 575, Bodycolour exterior mirror 0"
